date,close,ttm_cny,market_cap_hkd,pe_ttm
2023-03-29,46.3,84.99,5207.3,55.14
2023-03-30,45.3,84.99,5094.8,53.95
2023-03-31,45.15,84.99,5077.9,53.77
2023-04-03,44.75,84.99,5033.0,53.3
2023-04-04,44.6,84.99,5016.1,53.12
2023-04-06,44.6,84.99,5016.1,53.12
2023-04-11,44.85,84.99,5044.2,53.42
2023-04-12,43.1,84.99,4847.4,51.33
2023-04-13,43.05,84.99,4841.8,51.27
2023-04-14,43.0,84.99,4836.1,51.21
2023-04-17,43.6,84.99,4903.6,51.93
2023-04-18,43.35,84.99,4875.5,51.63
2023-04-19,42.95,84.99,4830.5,51.15
2023-04-20,42.7,84.99,4802.4,50.85
2023-04-21,42.3,84.99,4757.4,50.38
2023-04-24,42.55,84.99,4785.5,50.68
2023-04-25,41.85,84.99,4706.8,49.84
2023-04-26,42.35,84.99,4763.0,50.44
2023-04-27,42.2,84.99,4746.2,50.26
2023-04-28,42.4,84.99,4768.7,50.5
2023-05-02,42.3,84.99,4757.4,50.38
2023-05-03,42.45,84.99,4774.3,50.56
2023-05-04,41.95,84.99,4718.0,49.96
